"organizations_code","organizations_name","organizations_url_home","organizations_url_collections_digital"
"LOC","Library of Congress","https://www.loc.gov/","https://www.loc.gov/collections/"
"AZ-SLAPR","Arizona State Library\, Archives\, & Public Records","https://azlibrary.gov/","https://azmemory.azlibrary.gov/digital/custom/collectiondirectory"
"AL-HC","Alabama Historical Commission","https://ahc.alabama.gov/",""
"AL-DOAH","Alabama Department of Archives & History","http://digital.archives.alabama.gov/cdm/","http://digital.archives.alabama.gov/cdm/"
"AL-Mosaic","Alabama Mosaic","http://www.alabamamosaic.org/","http://www.alabamamosaic.org/collections.php"
"AK-HS","Alaska Historical Society","https://alaskahistoricalsociety.org/","https://vilda.alaska.edu/"
"AZ-HS","Arizona Historical Society","https://arizonahistoricalsociety.org/",""
"AR-HS","Arkansas Historical Association","http://arkansashistoricalassociation.org/",""
"CA-HS","California Historical Society","https://www.californiahistoricalsociety.org/","http://digitallibrary.californiahistoricalsociety.org/object/root"
"CO-HS","History Colorado","https://www.historycolorado.org/",""
"CT-HS","Connecticut Historical Society","https://chs.org/",""
"DE-HS","Delaware Historical Society","https://dehistory.org/",""
"FL-HS","Florida Historical Society","https://myfloridahistory.org/",""
"GA-HS","Georgia Historical Society","https://georgiahistory.com/",""
"HI-HS","Hawaiian Historical Society","https://www.hawaiianhistory.org/",""
"ID-HS","Idaho State Historical Society","https://history.idaho.gov/",""
"IL-HS","Illinois State Historical Society","http://www.historyillinois.org/",""
"IN-HS","Indiana Historical Society","https://indianahistory.org/",""
"IA-HS","State Historical Society of Iowa","https://iowaculture.gov/history/",""
"KS-HS","Kansas State Historical Society","https://www.kshs.org/",""
"KY-HS","Kentucky Historical Society","https://history.ky.gov/",""
"LA-HS","Louisiana Historical Society","https://louisianahistoricalsociety.org/",""
"ME-HS","Maine Historical Society","https://www.mainehistory.org/",""
"MD-HS","Maryland Historical Society","https://www.mdhs.org/",""
"MA-HS","Massachusetts Historical Society","http://www.masshist.org/",""
"MI-HS","Historical Society of Michigan","http://hsmichigan.org/",""
"MN-HS","Minnesota Historical Society","http://www.mnhs.org/",""
"MS-HS","Mississippi Historical Society","http://www.mississippihistory.org/",""
"MO-HS","State Historical Society of Missouri","https://shsmo.org/",""
"MT-HS","Montana Historical Society","https://mhs.mt.gov/",""
"NE-HS","Nebraska State Historical Society","https://history.nebraska.gov/",""
"NV-HS","Nevada Historical Society","http://nvculture.org/historicalsociety/",""
"NH-HS","New Hampshire Historical Society","https://www.nhhistory.org/",""
"NJ-HS","New Jersey Historical Society","https://jerseyhistory.org/",""
"NM-HS","Historical Society of New Mexico","https://www.hsnm.org/",""
"NY-HS","New York Historical Society","https://www.nyhistory.org/",""
"NC-HS","North Carolina State Historic Preservation Office","https://www.ncdcr.gov/state-historic-preservation-office",""
"ND-HS","State Historical Society of North Dakota","https://www.history.nd.gov/",""
"OH-HS","Ohio Historical Society","https://www.ohiohistory.org/",""
"OK-HS","Oklahoma Historical Society","https://www.okhistory.org/",""
"OR-HS","Oregon Historical Society","https://www.ohs.org/",""
"PA-HS","Historical Society of Pennsylvania","https://hsp.org/",""
"RI-HS","Rhode Island Historical Society","https://www.rihs.org/",""
"SC-HS","South Carolina Historical Society","https://schistory.org/",""
"SD-HS","South Dakota State Historical Society","https://history.sd.gov/",""
"TN-HS","Tennessee Historical Commission","https://www.tn.gov/environment/about-tdec/tennessee-historical-commission.html",""
"TX-HS","Texas State Historical Association","https://www.tshaonline.org/home/",""
"UT-HS","Utah State Historical Society","https://history.utah.gov/utah-state-historical-society/",""
"VT-HS","Vermont Historical Society","https://vermonthistory.org/",""
"VA-HS","Virginia Historical Society","https://www.virginiahistory.org/",""
"WA-HS","Washington State Historical Society","http://www.washingtonhistory.org/",""
"WV-HS","West Virginia Division of Culture and History","http://www.wvculture.org/",""
"WI-HS","Wisconsin Historical Society","https://www.wisconsinhistory.org/",""
"WY-HS","Wyoming State Historical Society","https://wyshs.org/",""
"DC-HS","Historical Society of Washington\, D.C.","http://www.dchistory.org/",""
